CustomerID,CustomerName,Region,SignupDate
C0001,Lawrence Carroll,South America,7/10/22
C0002,Elizabeth Lutz,Asia,2/13/22
C0003,Michael Rivera,South America,3/7/24
C0004,Kathleen Rodriguez,South America,10/9/22
C0005,Laura Weber,Asia,8/15/22
C0006,Brittany Palmer,South America,1/7/24
C0007,Paul Graves,Asia,6/18/22
C0008,David Li,North America,1/13/24
C0009,Joy Clark,Europe,8/14/23
C0010,Aaron Cox,Europe,12/15/22
C0011,Bryan Mathews,South America,12/12/22
C0012,Kevin May,South America,8/7/24
C0013,Lauren Buchanan,South America,5/19/24
C0014,Deborah Wilcox,Europe,6/22/24
C0015,Tina Duran,North America,11/20/23
C0016,Emily Woods,North America,1/3/24
C0017,Jennifer King,Europe,12/5/23
C0018,Tyler Haynes,North America,9/21/24
C0019,Brandon Rodriguez,Europe,1/12/23
C0020,Mr. Manuel Conway,North America,6/11/24
C0021,Robert Blanchard,Asia,4/17/23
C0022,Teresa Esparza,Asia,10/27/23
C0023,Nicholas Cain,Europe,3/4/22
C0024,Michele Cooley,North America,2/5/24
C0025,Gregory Odom,South America,7/4/22
C0026,Sara Miller,North America,5/3/24
C0027,Justin Heath,Asia,11/9/22
C0028,Jennifer Pena,Asia,6/29/24
C0029,Erin Manning,North America,4/16/22
C0030,Mark Brock,North America,1/30/24
C0031,Tina Miller,South America,4/11/24
C0032,Dustin Campbell,South America,4/17/24
C0033,Tyler Holt,North America,8/4/24
C0034,Dalton Perez,North America,9/27/23
C0035,Brianna Richardson,North America,10/1/24
C0036,Brian Aguilar DDS,North America,7/6/24
C0037,Linda Smith,Europe,2/4/23
C0038,Jeffrey Perkins,North America,4/16/22
C0039,Angela Harris,South America,10/13/24
C0040,Michael Harrell,Asia,3/7/22
C0041,Lindsey Deleon,Europe,12/27/23
C0042,Heather Riley,North America,3/15/23
C0043,Sandy Short MD,Asia,2/5/23
C0044,Kenneth Alexander,Europe,7/10/24
C0045,Michael Williams,Asia,2/25/22
C0046,Beth Cardenas,North America,10/23/24
C0047,Samantha Frank,North America,3/22/24
C0048,Matthew Park,South America,11/7/24
C0049,Jason Yates,North America,9/18/24
C0050,Ryan Davis,North America,3/2/24
C0051,Nicholas Ellis,Europe,12/21/23
C0052,Stanley Aguirre,South America,2/20/24
C0053,Albert Burke,Europe,6/18/22
C0054,Bruce Rhodes,Asia,9/29/24
C0055,Lauren Williams,North America,11/11/24
C0056,Erika Fernandez,Asia,4/12/24
C0057,Elizabeth Nguyen,Europe,7/27/24
C0058,Zachary Turner,North America,1/28/24
C0059,Mrs. Kimberly Wright,North America,4/7/24
C0060,James Murphy,Europe,4/22/22
C0061,Brandon Escobar,Europe,3/6/23
C0062,Jeffery Hartman,Europe,12/14/22
C0063,Wayne Ferguson,Europe,2/5/24
C0064,Martha Montgomery,Europe,10/22/23
C0065,Gerald Hines,North America,7/10/24
C0066,Catherine White,Europe,11/15/24
C0067,Carl Gonzalez,North America,7/6/23
C0068,Mark Cox,North America,4/4/23
C0069,Stacy Foster,Europe,12/3/23
C0070,Timothy Perez,Europe,3/15/22
C0071,Taylor Murphy,South America,7/1/22
C0072,Sarah Scott,North America,7/24/24
C0073,Heidi Johnson,Europe,8/20/22
C0074,Jonathan Russo,Europe,5/27/22
C0075,Misty Higgins,Europe,5/1/23
C0076,Emily Roberts,South America,2/11/24
C0077,Scott Sims,South America,10/18/23
C0078,Julia Palmer,Asia,11/13/24
C0079,Brian Murillo,North America,2/2/22
C0080,David Gonzalez,Asia,2/7/24
C0081,Kimberly Turner,Europe,2/24/24
C0082,Aimee Taylor,South America,5/13/22
C0083,Christina Stark,South America,4/7/22
C0084,Belinda Garner,Asia,9/17/24
C0085,Richard Brown,South America,9/22/24
C0086,Stephanie Peterson,Europe,9/18/22
C0087,Travis Campbell,South America,4/11/24
C0088,Carlos Murray,Asia,5/14/23
C0089,Paul Carter,Europe,4/2/24
C0090,Charles Hamilton,Asia,10/17/23
C0091,Lisa Kirk,South America,3/16/23
C0092,Jacqueline Zamora,Asia,5/29/24
C0093,Nancy Walker,Asia,7/13/24
C0094,Emily Trevino,North America,9/16/23
